Name,Runs,Ave,SR,Fours,Sixes,HF
B Kumar,40.0,13.33,100.0,4.0,0.0,0.0
,,,,,,
DW Steyn,19.0,3.8,90.47,0.0,1.0,0.0
,,,,,,
A Mishra,16.0,5.33,80.0,1.0,0.0,0.0
,,,,,,
Z Khan,12.0,6.0,70.58,1.0,0.0,0.0
,,,,,,
WD Parnell,19.0,4.75,70.37,2.0,0.0,0.0
,,,,,,
PC Valthaty,30.0,5.0,58.82,4.0,0.0,0.0
,,,,,,
RP Singh,6.0,3.0,50.0,0.0,0.0,0.0
,,,,,,
R Sharma,2.0,0.5,18.18,0.0,0.0,0.0
